Episode,Reward,Mean Reward (last 100),Epsilon,Loss,Q-value
0,1,100.0,0.9,0.0,0.0
1,1,100.0,0.8999,0.0,0.0
2,0,66.66666666666666,0.8998,0.0,0.0
3,0,50.0,0.8997,0.0,0.0
4,1,60.0,0.8996000000000001,0.024404148804023862,0.03976405435241759
5,0,50.0,0.8995000000000001,0.018021846073679626,0.09992044139653444
6,0,42.857142857142854,0.8994,0.009744093819920505,0.10744784665959221
7,0,37.5,0.8993,0.005958787913966391,0.09238765175853457
8,0,33.33333333333333,0.8992,0.00459244946250692,0.07714823819696903
9,0,30.0,0.8991,0.0027644322586378883,0.08549157423632485
10,0,27.27272727272727,0.899,0.001276105766010005,0.08024747483432293
11,0,25.0,0.8989,0.0006521260074805468,0.08340972342661448
12,1,30.76923076923077,0.8988,0.0016798057601720626,0.08446203065770012
13,1,35.714285714285715,0.8987,0.0054107826472318266,0.08785406220704317
14,0,33.33333333333333,0.8986000000000001,0.001698708810311343,0.09449128380843572
15,0,31.25,0.8985000000000001,0.002194239899836248,0.08098792610689998
16,1,35.294117647058826,0.8984,0.006086972779095439,0.07613137204732214
17,0,33.33333333333333,0.8983,0.0037555743848705398,0.08295881535325732
18,0,31.57894736842105,0.8982,0.0028343355266510378,0.0807441281420844
19,1,35.0,0.8981,0.004045202879102102,0.074210310620921
20,1,38.095238095238095,0.898,0.0020830979919992387,0.07733445800840855
21,0,36.36363636363637,0.8979,0.005256269692576357,0.09198708087205887
22,0,34.78260869565217,0.8978,0.000600561152168666,0.07690745871514082
23,1,37.5,0.8977,0.0025097701249511112,0.08785272389650345
24,0,36.0,0.8976000000000001,0.005095674614754638,0.09029643344027656
25,0,34.61538461538461,0.8975000000000001,0.004765558330940881,0.09942076568092618
26,1,37.03703703703704,0.8974,0.004866296733130834,0.07848637976816722
27,0,35.714285714285715,0.8973,0.002183487820730079,0.08414448378607631
28,1,37.93103448275862,0.8972,0.004426988265809736,0.08950614716325488
29,1,40.0,0.8971,0.00489639893930871,0.08939156820997596
30,1,41.935483870967744,0.897,0.004709161315986421,0.083628891967237
31,0,40.625,0.8969,0.00645235668967611,0.11699702590703964
32,0,39.39393939393939,0.8968,0.001896874264015683,0.1089028577719416
33,1,41.17647058823529,0.8967,0.005165641902879413,0.0817647571010249
34,0,40.0,0.8966000000000001,0.004367809842473694,0.09922057017683983
35,1,41.66666666666667,0.8965000000000001,0.0017566315863015397,0.12588118868214743
36,0,40.54054054054054,0.8964,0.0019220626199967228,0.09489282872527838
37,0,39.473684210526315,0.8963,0.0013664653358448828,0.0967363640666008
38,1,41.02564102564102,0.8962,0.004030372498423925,0.13439973763057164
39,0,40.0,0.8961,0.003277172858361155,0.1281863690486976
40,0,39.02439024390244,0.896,0.0021537625746402356,0.11677646317652293
41,0,38.095238095238095,0.8959,0.0022789002525516683,0.0853909481730726
42,0,37.2093023255814,0.8958,0.0011942339915549383,0.09109153365716338
43,0,36.36363636363637,0.8957,0.0009019781261615987,0.10654114239982196
44,0,35.55555555555556,0.8956000000000001,0.000792715531133581,0.10001600254327059
45,1,36.95652173913043,0.8955000000000001,0.0015453727475167917,0.11218676609652382
46,0,36.17021276595745,0.8954,0.0006563459173776209,0.08119898768407958
47,0,35.41666666666667,0.8953,0.0007978741071253483,0.08356189035943576
48,0,34.69387755102041,0.8952,0.0005429660834904228,0.09736898009266172
49,0,34.0,0.8951,0.0006031288815263126,0.07147699115531785
50,0,33.33333333333333,0.895,0.0026220354692278697,0.09174230588333947
51,1,34.61538461538461,0.8949,0.0018066412303596735,0.08446184173226357
52,1,35.84905660377358,0.8948,0.0032895823133003432,0.08915916457772255
53,0,35.18518518518518,0.8947,0.0038700721925124526,0.08433180768042803
54,1,36.36363636363637,0.8946000000000001,0.0013942143829938556,0.0850274647985186
55,0,35.714285714285715,0.8945000000000001,0.0008177334675565362,0.09953862375446729
56,0,35.08771929824561,0.8944,0.004723648461679529,0.10798592759030205
57,0,34.48275862068966,0.8943,0.0006177805272662747,0.09376346107040133
58,1,35.59322033898305,0.8942,0.0005887449619227222,0.10019046919686454
59,0,35.0,0.8941,0.00394830185021939,0.10327528417110443
60,1,36.0655737704918,0.894,0.0037201945524429902,0.11060898378491402
61,0,35.483870967741936,0.8939,0.0014992404280097357,0.08616323449781962
62,0,34.92063492063492,0.8938,0.0019118055019394628,0.09959462444697108
63,0,34.375,0.8937,0.001007593862595968,0.0891409725882113
64,0,33.84615384615385,0.8936000000000001,0.0025023795065603088,0.09119396284222603
65,0,33.33333333333333,0.8935000000000001,0.0013029923013943648,0.08967755043080874
66,0,32.83582089552239,0.8934,0.0033456294290122707,0.09217852779797145
67,0,32.35294117647059,0.8933,0.0033319843558794154,0.09415947645902634
68,0,31.88405797101449,0.8932,0.0007522547509454723,0.09556151926517487
69,0,31.428571428571427,0.8931,0.001782415501241173,0.08017185223954064
70,1,32.3943661971831,0.893,0.0010402555344626307,0.08115538741861071
71,0,31.944444444444443,0.8929,0.0015642059443052858,0.0679050562903285
72,0,31.506849315068493,0.8928,0.000989679224273589,0.08565197991473335
73,1,32.432432432432435,0.8927,0.00041336394081424387,0.09325004369020462
74,0,32.0,0.8926000000000001,0.0029607901981632623,0.08952595240303449
75,0,31.57894736842105,0.8925000000000001,0.0014926658768672496,0.07912876596674323
76,1,32.467532467532465,0.8924,0.0005949120448868987,0.06878970244101115
77,0,32.05128205128205,0.8923,0.0021432117043462184,0.0966238986168589
78,1,32.91139240506329,0.8922,0.0012294958412115062,0.09538606128522328
79,0,32.5,0.8921,0.0009701807539386209,0.07588047999888659
80,0,32.098765432098766,0.892,0.0015129285540232168,0.085404884070158
81,1,32.926829268292686,0.8919,0.0009913215160070518,0.07222179429871696
82,0,32.53012048192771,0.8918,0.004102948063518852,0.08781179200325694
83,0,32.142857142857146,0.8917,0.0014093296194914728,0.0940150385722518
84,0,31.76470588235294,0.8916000000000001,0.0018996608601550438,0.07271034909146172
85,0,31.3953488372093,0.8915000000000001,0.0011284437662522709,0.07743436257754054
86,1,32.18390804597701,0.8914,0.002809306501148967,0.09301778208464384
87,0,31.818181818181817,0.8913,0.0007494961526910109,0.10093996301293373
88,1,32.58426966292135,0.8912,0.004321834255409028,0.06607757455536298
89,0,32.22222222222222,0.8911,0.0021906879098553744,0.11298362910747528
90,0,31.868131868131865,0.891,0.000994792565636869,0.1100490955369813
91,0,31.521739130434785,0.8909,0.000939831261348445,0.06806603772565722
92,0,31.182795698924732,0.8908,0.004628580579135034,0.1099917505468641
93,0,30.851063829787233,0.8907,0.0011405381446820684,0.10418444592505693
94,0,30.526315789473685,0.8906000000000001,0.000576344226525786,0.07438732725050715
95,1,31.25,0.8905000000000001,0.001854595632591684,0.08176647712077413
96,0,30.927835051546392,0.8904,0.00037156826251053384,0.09038922243884631
97,0,30.612244897959183,0.8903,0.0012766082322091929,0.09454809554985591
98,1,31.313131313131315,0.8902,0.0009523997266244676,0.09835036098957062
99,1,32.0,0.8901,0.0014503113034152193,0.09517732914537191
100,0,31.0,0.89,0.002264066175225058,0.06610832948769842
101,1,31.0,0.8899,0.0016771671154336737,0.10031176997082573
102,0,31.0,0.8898,0.002949272585932964,0.0948850012251309
103,0,31.0,0.8897,0.001227485282080514,0.07994049255337034
104,1,31.0,0.8896000000000001,0.000879507528484932,0.11654522748930114
105,0,31.0,0.8895000000000001,0.0008268532110378146,0.07720232708379626
106,0,31.0,0.8894,0.0003004378564323166,0.06452716035502297
107,1,32.0,0.8893,0.0006186136743053794,0.0842428771512849
108,0,32.0,0.8892,0.001686987471267847,0.08789277821779251
109,0,32.0,0.8891,0.0015206538664642721,0.10248831233807973
110,1,33.0,0.889,0.0021374655563184725,0.0934465192258358
111,1,34.0,0.8889,0.002716920662870897,0.08713117028985705
112,1,34.0,0.8888,0.003424664984777337,0.07256342750042677
113,0,33.0,0.8887,0.0013962107914267108,0.07886235628809247
114,1,34.0,0.8886000000000001,0.004546732645914224,0.07875495084694453
115,1,35.0,0.8885000000000001,0.002000828639471105,0.07943529635667801
116,0,34.0,0.8884000000000001,0.0007688262641230332,0.08564961169447217
117,1,35.0,0.8883,0.002254677841847297,0.08544108970090747
118,0,35.0,0.8882,0.003153729558107443,0.07713442901149392
119,0,34.0,0.8881,0.0022923157625232954,0.0832288893205779
120,0,33.0,0.888,0.0023136668356268535,0.06911512890032359
121,1,34.0,0.8879,0.0009593001200950571,0.07120584111128535
122,1,35.0,0.8878,0.002128881560305932,0.08526516599314553
123,0,34.0,0.8877,0.0036369314517027567,0.08251137392861503
124,0,34.0,0.8876000000000001,0.0017396655540713774,0.09763679068003382
125,0,34.0,0.8875000000000001,0.0007066041913016566,0.10522884236914772
126,0,33.0,0.8874,0.002058822141927002,0.0832746300314154
127,0,33.0,0.8873,0.0024331490401112077,0.07575806868927819
128,0,32.0,0.8872,0.0011476454882150783,0.09961090981960297
129,0,31.0,0.8871,0.0004913121010758914,0.10904475580900908
130,0,30.0,0.887,0.0014685763781017158,0.10917146084830165
131,0,30.0,0.8869,0.0005575699233304476,0.06573384208604693
132,1,31.0,0.8868,0.001672184103102024,0.08025400659867696
133,0,30.0,0.8867,0.0024412479760940187,0.06412493670359254
134,0,30.0,0.8866,0.001475225344100701,0.08753928009952817
135,0,28.999999999999996,0.8865000000000001,0.001061533178601946,0.07422198568071638
136,0,28.999999999999996,0.8864000000000001,0.0006677445526293013,0.07180247269570827
137,1,30.0,0.8863,0.0008576426771469414,0.07372702551739556
138,0,28.999999999999996,0.8862,0.0018945347583212424,0.08804925670847297
139,1,30.0,0.8861,0.0010948926168826542,0.08320590694035802
140,1,31.0,0.886,0.0016983486545671309,0.09033618015902382
141,0,31.0,0.8859,0.0011612269190663937,0.07988792099058628
142,0,31.0,0.8858,0.0026570565120588676,0.07813937051428689
143,1,32.0,0.8857,0.0020710941025754437,0.08966496773064137
144,0,32.0,0.8856,0.001287829400098417,0.10948406951501966
145,1,32.0,0.8855000000000001,0.0019281736822449602,0.07978393184021115
146,0,32.0,0.8854000000000001,0.0008598125797496843,0.07062052562832832
147,0,32.0,0.8853,0.0005405508127296343,0.0949139871767589
148,1,33.0,0.8852,0.002328136401566943,0.08483944939715522
149,1,34.0,0.8851,0.0013276143415298844,0.07272230088710785
150,0,34.0,0.885,0.0032446794003979968,0.08868543324725968
151,1,34.0,0.8849,0.0026649783914243536,0.0849357321858406
152,1,34.0,0.8848,0.0012012473307549953,0.073409018771989
153,0,34.0,0.8847,0.002394327349195789,0.08560414292982646
154,0,33.0,0.8846,0.001808170902742339,0.1141002933893885
155,0,33.0,0.8845000000000001,0.001066516319042421,0.11340626096352935
156,0,33.0,0.8844000000000001,0.005267004690332604,0.0964477386857782
157,0,33.0,0.8843,0.0007020711532926985,0.08145886340311595
158,0,32.0,0.8842,0.0012455869041981974,0.11206295873437609
159,1,33.0,0.8841,0.0008347214670720859,0.08635784825310111
160,0,32.0,0.884,0.0025795370747800916,0.10457767652613777
161,0,32.0,0.8839,0.0013932664462897395,0.07603780126997403
162,0,32.0,0.8838,0.0009699354164435395,0.09716778408203806
163,1,33.0,0.8837,0.0010687805146777204,0.07812993813838277
164,0,33.0,0.8836,0.0004185453253739979,0.06551092211157084
165,1,34.0,0.8835000000000001,0.0009004909911059908,0.07860177116734642
166,0,34.0,0.8834000000000001,0.0008518036047462374,0.07599723818046707
167,0,34.0,0.8833,0.0006661706845209535,0.09053939101951462
168,0,34.0,0.8832,0.002152742851259453,0.06961723470262118
169,1,35.0,0.8831,0.0008555189124308527,0.07818907126784325
170,1,35.0,0.883,0.0017253005480597494,0.08797605382278562
171,1,36.0,0.8829,0.0022641916730208322,0.08941184496507049
172,0,36.0,0.8828,0.001461408003316527,0.10254327952861786
173,0,35.0,0.8827,0.0019243935184931615,0.09278906602412462
174,1,36.0,0.8826,0.0006958599624340422,0.09234177879989147
175,1,37.0,0.8825000000000001,0.0007908105991581189,0.09162866058094161
176,0,36.0,0.8824000000000001,0.0009713937106425874,0.09030224243178964
177,1,37.0,0.8823,0.0022077481440242585,0.1049993418984943
178,0,36.0,0.8822,0.0020360190501378383,0.09309608675539494
179,0,36.0,0.8821,0.0005521657959824162,0.058674682463918416
180,0,36.0,0.882,0.0006061698867207659,0.0857548617890903
181,0,35.0,0.8819,0.0012772110185323982,0.09891801048070192
182,0,35.0,0.8818,0.000469194066161955,0.0814063735306263
183,0,35.0,0.8817,0.0008825037794950833,0.08279152421487702
184,0,35.0,0.8816,0.0007626864701575999,0.085751331278256
185,1,36.0,0.8815000000000001,0.0003804999232670525,0.0825470769777894
186,0,35.0,0.8814000000000001,0.00410688975326983,0.06484087609819003
187,0,35.0,0.8813,0.004897848883826684,0.07208004753504481
