Episode,Reward,Mean Reward (last 100),Epsilon,Loss,Q-value
0,0,0.0,0.9,0.0,0.0
1,0,0.0,0.8999,0.0,0.0
2,0,0.0,0.8998,0.0,0.0
3,1,25.0,0.8997,0.0027696064207702875,0.0038458651397377253
4,0,20.0,0.8996000000000001,0.010103193315444514,0.03740492765791714
5,1,33.33333333333333,0.8995000000000001,0.002907901201979257,0.06562836142256856
6,0,28.57142857142857,0.8994,0.006212016459487911,0.07003318199089595
7,0,25.0,0.8993,0.004156888545756894,0.07183632999658585
8,0,22.22222222222222,0.8992,0.0043369927318833235,0.07542407086917333
9,1,30.0,0.8991,0.00340505491476506,0.07300974215779986
10,0,27.27272727272727,0.899,0.006176823858238224,0.08916605689695903
11,0,25.0,0.8989,0.006498097076213786,0.09095030490841184
12,1,30.76923076923077,0.8988,0.0042600118613336235,0.08556331042200327
13,1,35.714285714285715,0.8987,0.007783205576872986,0.07171595894864627
14,0,33.33333333333333,0.8986000000000001,0.0062356546259252355,0.08498867973685265
15,1,37.5,0.8985000000000001,0.007555517434541669,0.09214676011885915
16,0,35.294117647058826,0.8984,0.007822283040565838,0.08336257189512253
17,0,33.33333333333333,0.8983,0.004007755113499505,0.07518116970147405
18,1,36.84210526315789,0.8982,0.0030506145890935193,0.08170217222401074
19,1,40.0,0.8981,0.009135201415379665,0.0866382462637765
20,0,38.095238095238095,0.898,0.007228806947490999,0.09557338058948517
21,0,36.36363636363637,0.8979,0.0021445240459537934,0.07826295495033264
22,0,34.78260869565217,0.8978,0.0017706572793291084,0.08004302797572953
23,0,33.33333333333333,0.8977,0.0016308248907859837,0.0916606028165136
24,1,36.0,0.8976000000000001,0.0013847727178862052,0.0792682415672711
25,0,34.61538461538461,0.8975000000000001,0.002242589993069747,0.08895954489707947
26,1,37.03703703703704,0.8974,0.0018627197174022772,0.07757200886096273
27,0,35.714285714285715,0.8973,0.0006707325956085697,0.08566545428974288
28,0,34.48275862068966,0.8972,0.0040165506543416996,0.08923539007082582
29,1,36.666666666666664,0.8971,0.0008292087420289006,0.07495147894535746
30,0,35.483870967741936,0.897,0.001732725213514641,0.08662019018083811
31,0,34.375,0.8969,0.0022096690991020296,0.0979293417185545
32,0,33.33333333333333,0.8968,0.0034064126916096677,0.1018721301640783
33,0,32.35294117647059,0.8967,0.001932394879986532,0.07496523298323154
34,0,31.428571428571427,0.8966000000000001,0.0007204071111378393,0.10142325290611812
